시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
경상북도,고령군,없음,우곡면,거점수거,포2리 버스회차지 앞(포리2길 142-2),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,포1리 포리1길 60 김종이씨댁 앞,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,포1리 농협창고 앞(포리1길 131),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,봉산2리 봉산2길 53 최몽기씨댁 앞,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,봉산1리 봉산1길 72 앞,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,봉산1리 마을회관 앞(봉산1길 53),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,봉산1리 농협 창고 옆(봉산길 15),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,답곡2리 마을회관 앞,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,답곡1리 답곡1길 92 옆,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,답곡1리 버스정류장 옆(답곡2길 5),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,답곡1리 정안약국 앞(답곡2길 42),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,부례마을(우곡강변길 653),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
서울특별시,금천구,2구역,"독산1,2,4동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,3170000,서울특별시 금천구
서울특별시,금천구,1구역,"가산동, 독산3동",문전수거,문전,규격봉투에 넣어 지정된 요일에 배출,음식물만 전용봉투나 용기에 넣어 지정된 요일에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,청소과에 신고 후 개인차량 이용 지정된 장소에 배출,금천자원재활용처리장,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,22:00,18:00,22:00,18:00,22:00,15:00,15:00,"명절, 휴가일",청소행정과,02-2627-2375,2019-08-30,3170000,서울특별시 금천구
경상북도,고령군,없음,우곡면,거점수거,예곡리 정자나무(예곡길 53),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,도진리 우곡면 노인회관 옆(도진1길 4),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,우곡면,거점수거,도진리 새마을 금고 앞(도진2길 26-2),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
인천광역시,옹진군,영흥면,없음,문전수거,집앞,종량제봉투 배출,종량제봉투 배출,종류별 분리배출,사업장폐기물 위탁처리,운반업체 운반장소,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,일요일,환경녹지과,032-899-2624,2019-07-04,3580000,인천광역시 옹진군
충청남도,부여군,1권역,"부여읍, 석성면, 초촌면",문전수거,집앞,종량제봉투에 넣어 지정장소에 배출,종량제봉투에 넣어 지정장소에 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 장소에 배출,읍·면사무소에서 배출확인서를 발급 후 개인차량을 이용하여 지정된 장소에 배출,위생매립장,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,18:00,02:00,18:00,02:00,18:00,02:00,,,일+명절+공휴일,환경위생과,041-830-2307,2018-10-01,4570000,충청남도 부여군
경상남도,통영시,제2구역,무전동,문전수거,집앞,종량제봉투에 담아 지정수거일 전날 야간 배출 ※ 배출시간: 수거일 전날 일몰시~자정,물기를 짜서 음식물 전용용기에 담아 지정수거일 전날 야간 배출 ※ 배출시간: 수거일 전날 일몰시~자정,재활용가능물품을 투명한봉투에 담거나 묶어서 지정수거일 전날 야간 배출 ※ 배출시간: 수거일 전날 일몰시~자정,공사장생활폐기물 수집운반업체에 위탁처리하거나 읍면동에 신고 후 본인차량으로 지정장소까지 운반,배출장소 인근 차량진입이 가능한 장소 또는 통영시 환경자원화센터,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,19:00,00:00,19:00,00:00,19:00,00:00,09:00,18:00,지정수거일 제외일+일요일+법정공휴일 중 일부,자원순환과,055-650-1330,2020-04-01,5330000,경상남도 통영시
경기도,이천시,없음,없음,거점수거,백사면 현방리 66-6,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,대형폐기물 스티커 발부 후 배출 또는 시청(자원관리과)에 문의하여 업체를 통하여 배출,시청(자원관리과)에 문의 후 배출,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,19:00,04:00,19:00,04:00,19:00,04:00,19:00,04:00,일,자원관리과,031-644-2591,2020-02-12,4070000,경기도 이천시
경기도,이천시,없음,없음,거점수거,관고동 731,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,대형폐기물 스티커 발부 후 배출 또는 시청(자원관리과)에 문의하여 업체를 통하여 배출,시청(자원관리과)에 문의 후 배출,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,19:00,04:00,19:00,04:00,19:00,04:00,19:00,04:00,일,자원관리과,031-644-2591,2020-02-12,4070000,경기도 이천시
경상남도,김해시,없음,없음,문전수거,집앞,규격봉투에 넣어 지정된 요일에 배출,"납부칩, RFID",투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 품목별 배출,대행업체 수거,문전수거,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,20:00,06:00,20:00,06:00,20:00,06:00,00:00,15:00,일요일,청소행정과,055-330-3383,2019-03-25,5350000,경상남도 김해시
경상남도,합천군,삼가면,일부리 일부마을,거점수거,경상남도 합천군 일부리 747-109,종량제봉투,종량제봉투 및 음식물종량제 납부필증,투명한 봉투 및 그물망,종량제봉투,경상남도 합천군 일부리 747-109,월+화+수+목+금,월+화+수+목+금,월+화+수+목+금,20:00,04:00,20:00,04:00,20:00,04:00,20:00,04:00,토+일,삼가면 환경개발담당,055-930-4572,2020-09-25,5480000,경상남도 합천군
경상남도,합천군,삼가면,일부리 이부마을,거점수거,경상남도 합천군 삼가로 353-1,종량제봉투,종량제봉투 및 음식물종량제 납부필증,투명한 봉투 및 그물망,종량제봉투,경상남도 합천군 삼가로 353-1,월+화+수+목+금,월+화+수+목+금,월+화+수+목+금,20:00,04:00,20:00,04:00,20:00,04:00,20:00,04:00,토+일,삼가면 환경개발담당,055-930-4572,2020-09-25,5480000,경상남도 합천군
경상북도,고령군,없음,쌍림면,거점수거,신곡1리 양지담 김태훈 댁 앞(신곡리 455-1),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,신곡2리 신기마을회관 옆 농기계창고마당(신곡리 717),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,신곡2리 박실 마을 입구(신곡리 636),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,동양폐차장 입구,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,신곡1리 오금이 마을회관 앞(신곡리 381-5),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,평지리 놋정 이수정 댁 앞(평지리 722-1),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,평지리 놋정 마을 입구(쌍림면 평지리 698),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,평지리 개방 마을 입구(평지리 159),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,안화골 서병태 댁 앞(안화리 13),규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
경상북도,고령군,없음,쌍림면,거점수거,안화리 마을회관 앞,규격봉투에 넣어 지정된 장소에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,종류별 구분하여 투명비닐봉투에 담아 쓰레기배출장소 배출,대형폐기물 수수료 수납필증 스티커 발부 후 배출 또는 군청(환경과)에 문의하여 업체를 통하여 배출,군청(환경과)에 문의 후 배출,월+수+금+일,월+수+금+일,화+목,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절 연휴+법정공휴일+일요일,환경과,054-950-6524,2019-05-20,5200000,경상북도 고령군
